Date,Value
"1991","6.80000019073486"
"1992","7.5"
"1993","6.90000009536743"
"1994","6.11999988555908"
"1995","5.65000009536743"
"1996","5.44999980926514"
"1997","5"
"1998","4.51000022888184"
"1999","4.21999979019165"
"2000","3.99000000953674"
"2001","4.73000001907349"
"2002","5.78000020980835"
"2003","5.98999977111816"
"2004","5.53000020980835"
"2005","5.07999992370605"
"2006","4.61999988555908"
"2007","4.61999988555908"
"2008","5.78000020980835"
"2009","9.25"
"2010","9.63000011444092"
"2011","8.94999980926514"
"2012","8.06999969482422"
"2013","7.38000011444092"
"2014","6.17000007629395"
"2015","5.28000020980835"
"2016","4.86999988555908"
"2017","4.3600001335144"
"2018","3.90000009536743"
"2019","3.67000007629395"
"2020","8.3100004196167"
